S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
569.0,2.0,-0.8,4.2,1.2304347826086957,1734.0,33.0,-3.1,3.4,-1.4043478260869564,567.0,10.0,-3.9,2.9,-1.5695652173913044,1701.0,10.0,-4.7,-0.3,-3.491304347826087,3
565.0,-11.0,-9.4,1.9,-4.660869565217391,1744.0,-1.0,-5.8,5.8,-0.7478260869565219,576.0,8.0,-0.4,3.6,1.208695652173913,1745.0,4.0,-1.8,8.0,0.3826086956521739,3
13.0,-16.0,4.4,12.0,7.069565217391305,1234.0,-30.0,3.5,15.4,7.165217391304348,29.0,-26.0,-0.3,8.8,4.547826086956522,1264.0,-29.0,1.5,11.2,6.386956521739131,-1
3.0,-1.0,5.1,18.1,11.982608695652175,0.0,0.0,10.1,23.2,15.4,4.0,0.0,7.9,20.3,13.830434782608696,0.0,-1.0,9.9,20.3,14.778260869565218,-1
3.0,0.0,4.7,19.6,11.747826086956522,2.0,1.0,13.4,23.8,17.66521739130435,3.0,0.0,4.4,19.2,10.7,1.0,1.0,13.0,22.4,17.108695652173914,-1
3.0,-3.0,2.1,13.8,8.991304347826087,0,-2.0,5.1,12.8,8.021739130434783,6.0,3.0,11.6,18.8,14.304347826086957,2.0,0.0,9.7,21.3,12.947826086956521,-1
2.0,-1.0,1.0,11.6,7.543478260869565,0,0,4.5,13.6,8.308695652173913,3.0,1.0,5.8,12.8,8.569565217391304,0,0,6.0,13.7,8.81304347826087,-1
2.0,-1.0,4.7,8.5,6.334782608695652,0,0,4.7,6.5,5.778260869565218,3.0,-1.0,5.4,7.5,6.304347826086957,0,0,5.4,6.9,5.952173913043478,-1
1.0,-1.0,-0.6,6.5,3.1956521739130435,0,0,3.7,6.3,4.430434782608696,2.0,1.0,1.5,10.9,5.582608695652174,0,0,2.9,10.9,6.069565217391305,-1
57.0,4.0,1.3,4.0,2.491304347826087,0,0,0.8,5.2,2.2217391304347824,53.0,-2.0,-5.4,5.7,-0.8043478260869567,0,0,-0.6,9.4,3.1695652173913045,-1
48.0,-5.0,-0.1,4.4,1.7347826086956522,0,0,2.1,9.8,4.560869565217391,53.0,-4.0,0.9,6.6,2.5956521739130434,0,0,1.6,4.8,2.4956521739130433,-1
36.0,-7.0,-3.6,8.5,0.717391304347826,0,0,0.1,10.0,3.643478260869565,43.0,-5.0,-0.3,3.8,1.0782608695652174,0,0,1.2,10.3,5.226086956521739,-1
4.0,0.0,1.8,4.6,3.1826086956521737,0,0,1.4,2.6,1.8304347826086957,4.0,-17.0,2.8,6.0,4.143478260869565,0,-20.0,2.9,6.9,5.126086956521739,-1
2.0,-5.0,-8.5,-1.2,-5.326086956521739,38.0,-1.0,-5.6,6.8,-1.5347826086956522,7.0,-1.0,-3.1,4.7,-0.8260869565217391,39.0,5.0,-2.1,6.5,1.3565217391304347,-1
17.0,1.0,-14.1,-8.6,-11.852173913043478,169.0,2.0,-7.7,4.5,-4.217391304347826,16.0,-1.0,-14.8,-5.1,-11.208695652173914,167.0,3.0,-11.2,3.6,-7.104347826086957,2
33.0,7.0,-3.1,0.1,-1.6739130434782608,211.0,38.0,-2.4,-0.5,-1.8869565217391304,26.0,4.0,-3.2,1.3,-0.3130434782608696,173.0,8.0,-1.6,-0.1,-1.0130434782608695,3
198.0,-1.0,-14.4,-5.4,-10.782608695652174,744.0,5.0,-11.1,-1.5,-7.260869565217392,199.0,1.0,-11.0,-2.4,-5.521739130434782,739.0,5.0,-8.8,-2.5,-5.956521739130435,2
