S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
274.0,9.0,0.5,5.1,2.717391304347826,747.0,4.0,0.9,3.6,2.2217391304347824,265.0,6.0,-5.4,2.7,-2.617391304347826,743.0,1.0,0.2,5.6,2.365217391304348,259.0,5.0,-6.1,-1.3,-4.543478260869565,742.0,1.0,-0.8,13.9,3.239130434782609,2
298.0,5.0,-11.1,-4.0,-6.626086956521739,808.0,0.0,-6.0,-1.2,-3.7913043478260873,293.0,5.0,-3.7,-0.5,-2.3869565217391306,808.0,23.0,-2.4,-0.5,-1.7043478260869565,288.0,10.0,-0.7,1.6,0.7608695652173914,785.0,27.0,-3.0,-0.3,-1.7565217391304349,2
313.0,0.0,-2.3,2.5,0.4391304347826087,823.0,0.0,0.3,11.8,3.391304347826087,313.0,12.0,-1.7,3.8,0.5304347826086957,823.0,17.0,-2.5,1.8,-1.0217391304347827,301.0,2.0,-22.7,-0.1,-12.943478260869565,806.0,-1.0,-7.2,-0.1,-3.5478260869565217,3
351.0,4.0,-4.2,-1.3,-2.860869565217391,938.0,37.0,-3.5,-2.3,-3.1043478260869564,347.0,28.0,-2.8,0.4,-1.4652173913043478,901.0,49.0,-2.7,0.0,-1.5173913043478262,319.0,3.0,-1.8,1.5,-0.8521739130434782,852.0,37.0,-2.2,-0.3,-1.5173913043478262,3
413.0,15.0,-6.5,-3.6,-4.5,1108.0,49.0,-4.1,-0.5,-3.282608695652174,398.0,48.0,-4.0,-1.4,-2.6478260869565218,1059.0,97.0,-4.0,-1.4,-3.017391304347826,350.0,-1.0,-3.2,-1.6,-2.6,962.0,24.0,-4.1,-2.8,-3.573913043478261,4
513.0,10.0,-6.5,-2.9,-4.491304347826087,1444.0,6.0,-7.0,1.8,-4.778260869565218,503.0,-12.0,-14.3,-3.1,-7.739130434782608,1438.0,1.0,-8.9,0.0,-4.030434782608696,515.0,0.0,-7.6,-2.3,-4.956521739130435,1437.0,11.0,-7.4,3.3,-4.2043478260869565,2
529.0,-4.0,-10.9,2.8,-4.973913043478261,1594.0,2.0,-9.8,7.6,-3.7869565217391306,533.0,-15.0,-11.4,-0.5,-4.72608695652174,1592.0,15.0,-7.9,0.7,-3.226086956521739,548.0,26.0,-7.8,2.7,-2.7,1577.0,3.0,-3.2,1.4,-1.3391304347826087,2
531.0,3.0,-5.2,7.6,-0.6347826086956523,1596.0,1.0,-2.5,12.4,2.582608695652174,528.0,-1.0,-8.8,4.6,-3.5391304347826087,1595.0,1.0,-5.6,10.8,0.1869565217391305,529.0,-4.0,-10.9,2.8,-4.973913043478261,1594.0,2.0,-9.8,7.6,-3.7869565217391306,3
540.0,-12.0,-9.8,1.2,-4.252173913043478,1609.0,6.0,-6.3,7.3,-1.0391304347826087,552.0,7.0,-0.4,3.5,1.6347826086956523,1603.0,9.0,-1.2,0.8,-0.36086956521739133,545.0,14.0,-4.2,8.7,0.28260869565217384,1594.0,-2.0,0.8,8.3,3.378260869565217,2
571.0,16.0,-3.6,0.8,-1.7521739130434784,1628.0,20.0,-2.5,1.8,-0.8782608695652174,555.0,7.0,-4.1,2.0,-1.2521739130434781,1608.0,-2.0,-4.3,2.5,-1.4739130434782608,548.0,12.0,-2.8,2.0,-0.7260869565217392,1610.0,-2.0,-3.8,0.8,-1.6478260869565218,3
602.0,-11.0,0.9,6.3,2.973913043478261,1728.0,-55.0,0.2,6.5,1.9260869565217391,613.0,-12.0,-3.8,6.1,0.9391304347826087,1783.0,15.0,-0.7,9.2,1.9086956521739131,625.0,19.0,-3.2,4.1,-0.45652173913043487,1768.0,-9.0,0.2,5.2,2.273913043478261,3
2.0,-1.0,0.7,7.7,3.4347826086956523,938.0,-13.0,0.9,7.9,2.8130434782608695,3.0,-1.0,2.4,5.0,3.626086956521739,951.0,-46.0,3.7,4.9,4.182608695652174,4.0,2.0,5.0,8.2,6.369565217391305,997.0,-19.0,5.1,11.3,7.417391304347826,-1
2.0,0.0,0.1,7.0,3.3217391304347825,912.0,-26.0,-0.1,7.8,2.526086956521739,2.0,-1.0,0.7,7.7,3.4347826086956523,938.0,-13.0,0.9,7.9,2.8130434782608695,3.0,-1.0,2.4,5.0,3.626086956521739,951.0,-46.0,3.7,4.9,4.182608695652174,-1
3.0,1.0,3.2,10.7,6.243478260869565,858.0,-22.0,1.8,5.8,3.126086956521739,2.0,0.0,-0.2,7.9,4.147826086956521,880.0,-13.0,0.2,9.5,4.608695652173913,2.0,0.0,-1.2,6.9,3.260869565217391,893.0,-19.0,-0.2,7.7,2.9434782608695653,-1
3.0,-2.0,3.0,17.4,9.947826086956521,0,0,6.2,17.2,10.247826086956522,5.0,2.0,6.4,13.7,9.308695652173913,0,0,6.3,10.5,7.72608695652174,3.0,-1.0,7.3,13.6,10.434782608695652,0,-1.0,9.1,17.6,12.439130434782609,-1
6.0,3.0,7.4,15.8,10.660869565217391,0,0,7.6,10.9,8.97391304347826,3.0,0.0,4.5,18.6,11.334782608695653,0,0,7.8,17.3,12.382608695652173,3.0,-2.0,3.0,17.4,9.947826086956521,0,0,6.2,17.2,10.247826086956522,-1
3.0,0.0,1.4,12.4,7.260869565217391,0,0,4.1,13.0,8.756521739130434,3.0,-3.0,5.6,15.3,11.269565217391305,0,0,9.8,18.6,12.130434782608695,6.0,1.0,10.5,19.4,15.1,0,0,12.1,23.7,16.08695652173913,-1
5.0,0.0,10.1,25.3,17.660869565217393,2.0,1.0,15.8,27.7,21.72608695652174,5.0,0.0,10.2,26.6,18.069565217391304,1.0,0.0,15.3,27.9,21.05217391304348,5.0,2.0,9.1,25.5,16.543478260869566,1.0,1.0,14.8,26.9,20.51304347826087,-1
